\NEOWISESaturationBiasCorrection
\W1NEOWISEReactivation
|w1mpro,|,w1mcorr,|,w1lunc|,w1uunc|
|double,|,double|,double|,double|
|mag,|,mag,|,mag,|,mag,|
w1mpro,w1mcorr,w1lunc,w1uunc
2.875e+00,1.2195e+00,3.3800e-01,3.1726e-01
2.876e+00,1.2194e+00,3.3819e-01,3.1734e-01
2.877e+00,1.2194e+00,3.3838e-01,3.1742e-01
2.878e+00,1.2194e+00,3.3857e-01,3.1751e-01
2.879e+00,1.2194e+00,3.3876e-01,3.1759e-01
2.880e+00,1.2194e+00,3.3896e-01,3.1768e-01
2.881e+00,1.2193e+00,3.3915e-01,3.1777e-01
2.882e+00,1.2193e+00,3.3934e-01,3.1786e-01
2.883e+00,1.2193e+00,3.3954e-01,3.1795e-01
2.884e+00,1.2193e+00,3.3974e-01,3.1805e-01
2.885e+00,1.2192e+00,3.3993e-01,3.1814e-01
2.886e+00,1.2192e+00,3.4013e-01,3.1823e-01
2.887e+00,1.2192e+00,3.4033e-01,3.1833e-01
2.888e+00,1.2192e+00,3.4053e-01,3.1843e-01
2.889e+00,1.2192e+00,3.4073e-01,3.1852e-01
2.890e+00,1.2191e+00,3.4093e-01,3.1862e-01
2.891e+00,1.2191e+00,3.4113e-01,3.1872e-01
2.892e+00,1.2191e+00,3.4134e-01,3.1881e-01
2.893e+00,1.2191e+00,3.4154e-01,3.1891e-01
2.894e+00,1.2191e+00,3.4174e-01,3.1901e-01
2.895e+00,1.2190e+00,3.4194e-01,3.1911e-01
2.896e+00,1.2190e+00,3.4215e-01,3.1921e-01
2.897e+00,1.2190e+00,3.4235e-01,3.1930e-01
2.898e+00,1.2190e+00,3.4256e-01,3.1940e-01
2.899e+00,1.2190e+00,3.4276e-01,3.1950e-01
2.900e+00,1.2189e+00,3.4297e-01,3.1959e-01
2.901e+00,1.2189e+00,3.4317e-01,3.1969e-01
2.902e+00,1.2189e+00,3.4338e-01,3.1978e-01
2.903e+00,1.2189e+00,3.4359e-01,3.1988e-01
2.904e+00,1.2189e+00,3.4379e-01,3.1997e-01
2.905e+00,1.2189e+00,3.4400e-01,3.2007e-01
2.906e+00,1.2188e+00,3.4421e-01,3.2016e-01
2.907e+00,1.2188e+00,3.4441e-01,3.2025e-01
2.908e+00,1.2188e+00,3.4462e-01,3.2034e-01
2.909e+00,1.2188e+00,3.4483e-01,3.2043e-01
2.910e+00,1.2188e+00,3.4503e-01,3.2051e-01
2.911e+00,1.2188e+00,3.4524e-01,3.2060e-01
2.912e+00,1.2187e+00,3.4545e-01,3.2068e-01
2.913e+00,1.2187e+00,3.4565e-01,3.2077e-01
2.914e+00,1.2187e+00,3.4586e-01,3.2085e-01
2.915e+00,1.2187e+00,3.4607e-01,3.2093e-01
2.916e+00,1.2187e+00,3.4627e-01,3.2100e-01
2.917e+00,1.2187e+00,3.4648e-01,3.2108e-01
2.918e+00,1.2187e+00,3.4668e-01,3.2115e-01
2.919e+00,1.2186e+00,3.4689e-01,3.2122e-01
2.920e+00,1.2186e+00,3.4709e-01,3.2129e-01
2.921e+00,1.2186e+00,3.4730e-01,3.2136e-01
2.922e+00,1.2186e+00,3.4750e-01,3.2142e-01
2.923e+00,1.2186e+00,3.4771e-01,3.2148e-01
2.924e+00,1.2186e+00,3.4791e-01,3.2154e-01
2.925e+00,1.2186e+00,3.4811e-01,3.2159e-01
2.926e+00,1.2186e+00,3.4831e-01,3.2165e-01
2.927e+00,1.2185e+00,3.4852e-01,3.2170e-01
2.928e+00,1.2185e+00,3.4872e-01,3.2174e-01
2.929e+00,1.2185e+00,3.4892e-01,3.2179e-01
2.930e+00,1.2185e+00,3.4912e-01,3.2183e-01
2.931e+00,1.2185e+00,3.4932e-01,3.2187e-01
2.932e+00,1.2185e+00,3.4951e-01,3.2190e-01
2.933e+00,1.2185e+00,3.4971e-01,3.2193e-01
2.934e+00,1.2185e+00,3.4991e-01,3.2196e-01
2.935e+00,1.2185e+00,3.5010e-01,3.2198e-01
2.936e+00,1.2184e+00,3.5030e-01,3.2200e-01
2.937e+00,1.2184e+00,3.5049e-01,3.2202e-01
2.938e+00,1.2184e+00,3.5068e-01,3.2203e-01
2.939e+00,1.2184e+00,3.5088e-01,3.2204e-01
2.940e+00,1.2184e+00,3.5107e-01,3.2204e-01
2.941e+00,1.2184e+00,3.5126e-01,3.2204e-01
2.942e+00,1.2184e+00,3.5144e-01,3.2204e-01
2.943e+00,1.2184e+00,3.5163e-01,3.2203e-01
2.944e+00,1.2184e+00,3.5182e-01,3.2202e-01
2.945e+00,1.2184e+00,3.5200e-01,3.2200e-01
2.946e+00,1.2183e+00,3.5219e-01,3.2198e-01
2.947e+00,1.2183e+00,3.5237e-01,3.2195e-01
2.948e+00,1.2183e+00,3.5255e-01,3.2192e-01
2.949e+00,1.2183e+00,3.5273e-01,3.2188e-01
2.950e+00,1.2183e+00,3.5291e-01,3.2184e-01
2.951e+00,1.2183e+00,3.5309e-01,3.2180e-01
2.952e+00,1.2183e+00,3.5327e-01,3.2175e-01
2.953e+00,1.2183e+00,3.5344e-01,3.2170e-01
2.954e+00,1.2183e+00,3.5362e-01,3.2164e-01
2.955e+00,1.2183e+00,3.5379e-01,3.2158e-01
2.956e+00,1.2183e+00,3.5396e-01,3.2152e-01
2.957e+00,1.2182e+00,3.5413e-01,3.2145e-01
2.958e+00,1.2182e+00,3.5430e-01,3.2137e-01
2.959e+00,1.2182e+00,3.5447e-01,3.2130e-01
2.960e+00,1.2182e+00,3.5463e-01,3.2122e-01
2.961e+00,1.2182e+00,3.5480e-01,3.2113e-01
2.962e+00,1.2182e+00,3.5496e-01,3.2105e-01
2.963e+00,1.2182e+00,3.5513e-01,3.2096e-01
2.964e+00,1.2182e+00,3.5529e-01,3.2086e-01
2.965e+00,1.2182e+00,3.5545e-01,3.2077e-01
2.966e+00,1.2182e+00,3.5561e-01,3.2066e-01
2.967e+00,1.2181e+00,3.5577e-01,3.2056e-01
2.968e+00,1.2181e+00,3.5592e-01,3.2045e-01
2.969e+00,1.2181e+00,3.5608e-01,3.2034e-01
2.970e+00,1.2181e+00,3.5623e-01,3.2023e-01
